Name,Address
MIXUE Cihampelas,"Jl. Cihampelas No.58 A, Tamansari, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40116, Indonesia"
Mixue,"Jl. Cihampelas No.160, Cipaganti, Kecamatan Coblong, Kota Bandung, Jawa Barat 40131, Indonesia"
Mixue BEC,"Istana BEC LU S01/02, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia"
Mixue,"Jl. Kebon Kawung No.30, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia"
Mixue paskal sukajadi,"Jl. Pasir Kaliki No.215, Sukabungah, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162, Indonesia"
Mixue Pajajaran,"Jl. Pajajaran No.122B, Pajajaran, Kec. Cicendo, Kota Bandung, Jawa Barat 40172, Indonesia"
Mixue Otista,"Jl. Otto Iskandar Dinata, Balonggede, Kec. Andir, Kota Bandung, Jawa Barat, Indonesia"
Mixue Banda,"Jl. Banda No.32, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115, Indonesia"
MIXUE BRAGA,"Jl. Braga No.57, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111, Indonesia"
Mixue,"Jl. Cihapit No.25A, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114, Indonesia"
Mixue,"Jl. Surya Sumantri No.72b, Sukagalih, Kec. Sukajadi, Kota Bandung, Jawa Barat 40164, Indonesia"
Mixue,"Jl. Sukamaju No.6, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161, Indonesia"
Mixue karapitan,"Jl. Karapitan No.114B, Cikawao, Kec. Lengkong, Kota Bandung, Jawa Barat 40261, Indonesia"
Mixue Paskal23,"Ruko, Paskal Hyper Square, Kebon Jeruk, Andir, Bandung City, West Java 40181, Indonesia"
Mixue Pahlawan,"Jl. Pahlawan No.41, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40122, Indonesia"
Mixue Dewi Sartika,"Jl. Dewi Sartika No.11, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251, Indonesia"
MIXUE Dipatiukur,"Jl. Dipati Ukur No.72F, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132, Indonesia"
Mixue Asia Afrika,"Jl. Asia Afrika No.90, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251, Indonesia"
Mixue Garuda,"Jl. Garuda No.109D, Garuda, Kec. Andir, Kota Bandung, Jawa Barat 40184, Indonesia"
Mixue Pasir Koja,"Jl. Terusan Pasirkoja No.112, Jamika, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231, Indonesia"
Mixue,"Jl. Cikutra No.150, Cikutra, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40124, Indonesia"
Mixue BKR,"Jl. BKR No.107B, Cigereleng, Kec. Regol, Kota Bandung, Jawa Barat 40253, Indonesia"
mixue pvj,"Lt CL, Mall, Paris Van Java, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161, Indonesia"
Mixue Ciumbuleuit,"Jl. Ciumbuleuit No.91, Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat 40141, Indonesia"
Mixue Setiabudi,"Jl. Dr. Setiabudi No.170d, Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat 40141, Indonesia"
MIXUE CIBADAK,"Depan Toko Sumber Rezeki, Jl. Cibadak No.125, Karanganyar, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40241, Indonesia"
Mixue Dago Pusat,"Jl. Ir. H. Juanda No.314A, RT.1/RW.1, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135, Indonesia"
Mixue,"Jl. Tubagus Ismail No.27B, Sekeloa, Kecamatan Coblong, Kota Bandung, Jawa Barat 40134, Indonesia"
MIXUE BOJONG RAYA ( CARINGIN ),"Jl. Bojong Raya No.52, Caringin, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40212, Indonesia"
Mixue Cijagra,"Jl. Cijagra No.14 A, Cijagra, Kec. Buahbatu, Kota Bandung, Jawa Barat 40265, Indonesia"
Mixue,"Jl. Laswi No.55, Cibangkong, Kec. Batununggal, Kota Bandung, Jawa Barat 40273, Indonesia"
Mixue,"Jl. Lengkong Kecil No.84b, Paledang, Kec. Lengkong, Kota Bandung, Jawa Barat 40261, Indonesia"
Mixue,"Jl. Terusan Jakarta No.92, Antapani Tengah, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia"
Mixue Kopo Soeta,"Jl. Raya Kopo No.398A, Kopo, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40233, Indonesia"
Mixue Raya Kopo,"Jl. Raya Kopo No.107, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40232, Indonesia"
Mixue Cigadung,"Jl. Cikondang No.15, Sadang Serang, Kecamatan Coblong, Kota Bandung, Jawa Barat 40133, Indonesia"
MIXUE UPI GERLONG,"Jl. Gegerkalong Girang No.27, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153, Indonesia"
Mixue,"Jl. Kiara Condong No.437a, Kb. Kangkung, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40275, Indonesia"
Mixue Sarimanah,"Jl. Sarimanah No.43, Sarijadi, Kec. Sukasari, Kota Bandung, Jawa Barat 40151, Indonesia"
Mixue,"Jl. Prof. Dr. Sutami No.53, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40152, Indonesia"
MIXUE Kurdi,"Jl. H. Kurdi 1 No.8, Karasak, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40243, Indonesia"
Mixue Gempolsari,"Ruko f, Jl. Gempol Sari No.150, Gempolsari, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40215, Indonesia"
MIXUE Pagarsih,"Jl. Pagarsih No.236 A, Jamika, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231, Indonesia"
MIXUE Cijerah,"Jl. Melong Asih No.20, Cijerah, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40213, Indonesia"
Mixue dalem kaum,"Jl. Dalem Kaum No.36, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251, Indonesia"
Mixue Padasuka,"Jl. A. Yani No.873, Padasuka, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40125, Indonesia"
Mixue Leuwi Panjang,"Jl. Leuwi Panjang No.136, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40233, Indonesia"
Mixue Babakan Sari,"Jl. Babakan Sari No.104, Babakan Sari, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40283, Indonesia"
Mixue Batununggal,"Jl. Batununggal Indah Raya No.43, Batununggal, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40266, Indonesia"
MIXUE Caringin,"Jl. Caringin No.191, Babakan Ciparay, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40223, Indonesia"
Mixue,"Jl. Gatot Subroto No.230, Binong, Kec. Batununggal, Kota Bandung, Jawa Barat 40275, Indonesia"
Mixue Moch.Toha,"Jl. Moch. Toha No.405, Wates, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40256, Indonesia"
Mixue Holis,"M28, Jl. Holis Regency, Babakan, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40222, Indonesia"
Mixue,"Jl. K.H. Ahmad Dahlan No.51, Turangga, Kec. Lengkong, Kota Bandung, Jawa Barat 40264, Indonesia"
Mixue Margacinta,"Jl. Margacinta No.98, Margasari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia"
Mixue Prapatan 5,"Jl. Gatot Subroto No.39, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat 40273, Indonesia"
MIXUE ARCAMANIK,"Jl. A.H. Nasution No.159, Karang Pamulang, Kec. Mandalajati, Kota Bandung, Jawa Barat 40194, Indonesia"
Mixue Gerlong Hilir,"Jl. Gegerkalong Hilir No.169, Sarijadi, Kec. Sukasari, Kota Bandung, Jawa Barat 40153, Indonesia"
Mixue Feslink,"Jl. Peta No.241, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40232, Indonesia"
MIXUE Gunung Batu,"4H36+X6W, Jl. Gn. Batu, Sukaraja, Kec. Cicendo, Kota Bandung, Jawa Barat 40175, Indonesia"
